Alabama, 1270
Alaska, 147
Arizona, 1598
Arkansas, 679
California, 9191
Colorado, 3728
Connecticut, 3824
Delaware, 393
Florida, 8694
Georgia, 5486
Hawaii, 225
Idaho, 891
Illinois, 7695
Indiana, 3039
Iowa, 614
Kansas, 552
Kentucky, 770
Louisiana, 9150
Maine, 376
Maryland, 2331
Massachusetts, 8966
Michigan, 10791
Minnesota, 789
Mississippi, 1358
Missouri, 1834
Montana, 244
Nebraska, 255
Nevada, 1458
New Hampshire, 479
New Jersey, 25590
New Mexico, 403
New York, 90279
North Carolina, 2093
North Dakota, 159
Ohio, 2902
Oklahoma, 879
Oregon, 826
Pennsylvania, 7016
Rhode Island, 681
South Carolina, 1554
South Dakota, 165
Tennessee, 2845
Texas, 4669
Utah, 1165
Vermont, 338
Virginia, 2012
Washington, 5683
West Virginia, 217
Wisconsin, 1730
Wyoming, 150
